group,registry,test,host_code,core_x,core_y,in0_reads,in1_reads
mixed_sweep,5,0,Naive_row_R256_d50,0,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,0,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,1,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,2,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,3,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,4,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,5,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,6,7,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,0,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,1,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,2,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,3,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,4,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,5,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,6,256,256
mixed_sweep,5,0,Naive_row_R256_d50,7,7,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,0,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,1,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,2,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,3,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,4,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,5,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,6,256,256
mixed_sweep,5,0,SnF_row_R256_d50,0,7,256,256
mixed_sweep,5,0,SnF_row_R256_d50,1,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,1,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,2,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,3,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,4,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,5,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,6,7,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,0,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,1,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,2,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,3,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,4,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,5,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,6,0,256
mixed_sweep,5,0,SnF_row_R256_d50,7,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,0,0,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,1,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,2,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,3,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,4,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,5,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,6,256,0
mixed_sweep,5,0,CDA_row_R256_d50,0,7,256,256
mixed_sweep,5,0,CDA_row_R256_d50,1,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,2,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,3,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,4,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,5,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,6,7,0,256
mixed_sweep,5,0,CDA_row_R256_d50,7,7,0,256
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,0,240,240
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,1,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,2,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,3,256,256
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,4,260,260
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,5,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,6,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,0,7,268,268
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,0,240,240
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,1,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,2,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,3,256,256
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,4,260,260
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,5,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,6,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,1,7,268,268
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,0,240,240
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,1,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,2,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,3,256,256
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,4,260,260
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,5,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,6,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,2,7,268,268
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,0,240,240
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,1,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,2,248,248
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,3,256,256
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,4,260,260
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,5,264,264
mixed_sweep,5,2,Naive_multi_diag_R256_d50,3,6,264,264
