group,registry,test,host_code,core_x,core_y,in0_reads,in1_reads
sweep_pattern,17,0,CDA,0,0,2,2
sweep_pattern,17,0,CDA,1,0,0,2
sweep_pattern,17,0,CDA,2,0,0,2
sweep_pattern,17,0,CDA,3,0,0,2
sweep_pattern,17,0,CDA,4,0,0,2
sweep_pattern,17,0,CDA,5,0,0,2
sweep_pattern,17,0,CDA,6,0,0,2
sweep_pattern,17,0,CDA,7,0,0,2
sweep_pattern,17,1,CDA,0,0,1,0
sweep_pattern,17,1,CDA,0,1,1,1
sweep_pattern,17,1,CDA,1,1,0,1
sweep_pattern,17,1,CDA,2,1,0,1
sweep_pattern,17,1,CDA,3,1,0,1
sweep_pattern,17,1,CDA,4,1,0,1
sweep_pattern,17,1,CDA,5,1,0,1
sweep_pattern,17,1,CDA,6,1,0,1
sweep_pattern,17,1,CDA,7,1,0,1
sweep_pattern,17,2,CDA,0,0,1,1
sweep_pattern,17,2,CDA,0,1,1,1
sweep_pattern,17,2,CDA,1,0,0,1
sweep_pattern,17,2,CDA,1,1,0,1
sweep_pattern,17,2,CDA,2,0,0,1
sweep_pattern,17,2,CDA,2,1,0,1
sweep_pattern,17,2,CDA,3,0,0,1
sweep_pattern,17,2,CDA,3,1,0,1
sweep_pattern,17,2,CDA,4,0,0,1
sweep_pattern,17,2,CDA,4,1,0,1
sweep_pattern,17,2,CDA,5,0,0,1
sweep_pattern,17,2,CDA,5,1,0,1
sweep_pattern,17,2,CDA,6,0,0,1
sweep_pattern,17,2,CDA,6,1,0,1
sweep_pattern,17,2,CDA,7,0,0,1
sweep_pattern,17,2,CDA,7,1,0,1
sweep_pattern,17,3,CDA,0,0,1,1
sweep_pattern,17,3,CDA,0,1,1,1
sweep_pattern,17,3,CDA,1,0,0,1
sweep_pattern,17,3,CDA,1,1,0,1
sweep_pattern,17,3,CDA,2,0,0,1
sweep_pattern,17,3,CDA,2,1,0,1
sweep_pattern,17,3,CDA,3,0,0,1
sweep_pattern,17,3,CDA,3,1,0,1
sweep_pattern,17,3,CDA,4,0,0,1
sweep_pattern,17,3,CDA,4,1,0,1
sweep_pattern,17,3,CDA,5,0,0,1
sweep_pattern,17,3,CDA,5,1,0,1
sweep_pattern,17,3,CDA,6,0,0,1
sweep_pattern,17,3,CDA,6,1,0,1
sweep_pattern,17,3,CDA,7,0,0,1
sweep_pattern,17,3,CDA,7,1,0,1
sweep_pattern,18,0,CDA,0,0,7,7
sweep_pattern,18,0,CDA,1,0,0,7
sweep_pattern,18,0,CDA,2,0,0,7
sweep_pattern,18,0,CDA,3,0,0,7
sweep_pattern,18,0,CDA,4,0,0,7
sweep_pattern,18,0,CDA,5,0,0,7
sweep_pattern,18,0,CDA,6,0,0,7
sweep_pattern,18,0,CDA,7,0,0,7
sweep_pattern,18,1,CDA,0,0,1,0
sweep_pattern,18,1,CDA,0,1,1,0
sweep_pattern,18,1,CDA,0,2,1,0
sweep_pattern,18,1,CDA,0,3,1,0
sweep_pattern,18,1,CDA,0,4,1,0
sweep_pattern,18,1,CDA,0,5,1,0
sweep_pattern,18,1,CDA,0,6,1,1
sweep_pattern,18,1,CDA,1,6,0,1
sweep_pattern,18,1,CDA,2,6,0,1
sweep_pattern,18,1,CDA,3,6,0,1
sweep_pattern,18,1,CDA,4,6,0,1
sweep_pattern,18,1,CDA,5,6,0,1
sweep_pattern,18,1,CDA,6,6,0,1
sweep_pattern,18,1,CDA,7,6,0,1
sweep_pattern,18,2,CDA,0,0,1,1
sweep_pattern,18,2,CDA,0,1,1,1
sweep_pattern,18,2,CDA,0,2,1,1
sweep_pattern,18,2,CDA,0,3,1,1
sweep_pattern,18,2,CDA,0,4,1,1
sweep_pattern,18,2,CDA,0,5,1,1
sweep_pattern,18,2,CDA,0,6,1,1
sweep_pattern,18,2,CDA,1,0,0,1
sweep_pattern,18,2,CDA,1,1,0,1
sweep_pattern,18,2,CDA,1,2,0,1
sweep_pattern,18,2,CDA,1,3,0,1
sweep_pattern,18,2,CDA,1,4,0,1
sweep_pattern,18,2,CDA,1,5,0,1
sweep_pattern,18,2,CDA,1,6,0,1
sweep_pattern,18,2,CDA,2,0,0,1
sweep_pattern,18,2,CDA,2,1,0,1
sweep_pattern,18,2,CDA,2,2,0,1
sweep_pattern,18,2,CDA,2,3,0,1
sweep_pattern,18,2,CDA,2,4,0,1
sweep_pattern,18,2,CDA,2,5,0,1
sweep_pattern,18,2,CDA,2,6,0,1
sweep_pattern,18,2,CDA,3,0,0,1
