group,registry,test,host_code,total_in0_reads,total_in1_reads
sweep_pattern,13,0,CDA,410,1024
sweep_pattern,13,1,CDA,410,735
sweep_pattern,13,2,CDA,410,3280
sweep_pattern,13,3,CDA,408,3008
sweep_pattern,14,0,CDA,820,1024
sweep_pattern,14,1,CDA,820,1792
sweep_pattern,14,2,CDA,820,6416
sweep_pattern,14,3,CDA,818,5808
sweep_pattern,15,0,CDA,2048,2048
sweep_pattern,15,1,CDA,2048,5120
sweep_pattern,15,2,CDA,2048,15376
sweep_pattern,15,3,CDA,2048,13536
sweep_pattern,16,0,CDA,4096,4096
sweep_pattern,16,1,CDA,4096,18432
sweep_pattern,16,2,CDA,4096,27536
sweep_pattern,16,3,CDA,4096,23168
sweep_pattern,2,0,CDA,204,1024
sweep_pattern,2,1,CDA,204,320
sweep_pattern,2,2,CDA,204,1632
sweep_pattern,2,3,CDA,204,1472
sweep_pattern,3,0,CDA,408,1024
sweep_pattern,3,1,CDA,408,896
sweep_pattern,3,2,CDA,408,3264
sweep_pattern,3,3,CDA,408,2784
sweep_pattern,4,0,CDA,1024,1024
sweep_pattern,4,1,CDA,1024,3072
sweep_pattern,4,2,CDA,1024,7840
sweep_pattern,4,3,CDA,1024,5920
sweep_pattern,5,0,CDA,2047,2048
sweep_pattern,5,1,CDA,2048,10240
sweep_pattern,5,2,CDA,2048,13856
sweep_pattern,5,3,CDA,2048,11776
